work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,Senior-level,Full-time,Data Engineer,135000,PR,Remote,PR,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,193900,US,On-site,US,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,129300,US,On-site,US,Medium
2022,Entry-level,Full-time,Machine Learning Engineer,56493,GB,Remote,GB,Small
2022,Senior-level,Full-time,Data Analyst,87878,GB,On-site,GB,Medium
2022,Senior-level,Full-time,Data Analyst,62770,GB,On-site,GB,Medium
2022,Senior-level,Full-time,Data Analyst,175000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Analyst,130000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,188100,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,139860,US,On-site,US,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,248700,US,On-site,US,Medium
2022,Senior-level,Full-time,Machine Learning Engineer,167100,US,On-site,US,Medium
2022,Medium-level,Full-time,Data Analyst,5815,IN,Remote,IN,Small
2022,Senior-level,Full-time,Data Scientist,123400,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Scientist,88100,US,On-site,US,Medium
2022,Medium-level,Full-time,BI Data Analyst,51029,DE,Remote,DE,Small
2022,Senior-level,Full-time,Data Scientist,245000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Scientist,205000,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,141300,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,102100,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Architect,141300,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Architect,102100,US,On-site,US,Medium
2022,Entry-level,Full-time,Data Analyst,50000,AR,Remote,AR,Large
2022,Entry-level,Full-time,Data Scientist,85048,BE,Remote,BE,Large
2022,Senior-level,Full-time,Data Scientist,2435,BR,Remote,BR,Large
